Movie,Review,Rating,Genre
RRR,Excellent action drama with amazing choreography and visuals,4.8,Action
RRR,शानदार फिल्म बहुत अच्छी कहानी और शानदार अभिनय,4.7,Action
RRR,அருமையான படம் அசாधारண சண்டை காட்சிகள்,4.6,Action
RRR,Incredible movie with outstanding direction and music,4.9,Action
RRR,非常好的动作电影精彩的表演和故事,4.7,Action
Pushpa 2 The Rule,Powerful performance by lead actor with intense action,4.5,Action
Pushpa 2 The Rule,बहुत मजेदार फिल्म शानदार संगीत और नृत्य,4.3,Action
Pushpa 2 The Rule,சிறந்த நடிப்பு அருமையான ஆக்ஷன் காட்சிகள்,4.4,Action
Pushpa 2 The Rule,Great movie with amazing cinematography and story,4.6,Action
Pushpa 2 The Rule,很好的电影令人印象深刻的表演,4.5,Action
Devara Part 1,Jr NTR shines in dual roles with impressive action sequences,4.1,Action
Devara Part 1,अच्छी फिल्म अभिनय बहुत शानदार है,4.2,Action
Devara Part 1,நல்ல படம் கதை சரியாக உள்ளது,3.9,Action
Devara Part 1,Good movie with some slow pacing but decent action,3.8,Action
Devara Part 1,很不错的电影但故事稍显冗长,4.0,Action
HanuMan,Delightful superhero story with great VFX,4.4,Fantasy
HanuMan,बहुत अच्छी फिल्म परिवार के साथ देखने के लिए,4.5,Fantasy
HanuMan,அருமையான படம் சிறுவர்களுக்கு ஏற்றது,4.3,Fantasy
HanuMan,Wonderful superhero movie with Indian mythology twist,4.6,Fantasy
HanuMan,精彩的印度神话故事视觉效果很好,4.4,Fantasy
Kalki 2898 AD,Visually spectacular but uneven pacing,3.8,Sci-Fi
Kalki 2898 AD,बड़ा बजट बड़ी फिल्म लेकिन कमजोर कहानी,3.6,Sci-Fi
Kalki 2898 AD,பெரிய பட்ஜெட் ஆனால் கதை சரியில்லை,3.5,Sci-Fi
Kalki 2898 AD,Grand scale production but complex storyline,3.7,Sci-Fi
Kalki 2898 AD,很宏大的科幻电影但故事不够好,3.6,Sci-Fi
Bahubali The Beginning,Epic masterpiece with groundbreaking cinematography,4.8,Fantasy
Bahubali The Beginning,शानदार फिल्म हर दृश्य मनोरम है,4.7,Fantasy
Bahubali The Beginning,அசாதாரண படம் கலை வேலை சிறப்பு,4.8,Fantasy
Bahubali The Beginning,Absolutely fantastic epic with incredible visuals,4.9,Fantasy
Bahubali The Beginning,杰作电影值得多看几次,4.8,Fantasy
Animal,Intense drama with powerful performances,4.3,Drama
Animal,गहरी फिल्म मजबूत अभिनय और संवाद,4.4,Drama
Animal,படம் உணர்ச்சிகரமாக சற்று கடினமாக உள்ளது,4.1,Drama
Animal,Dark and intense movie not for everyone,3.9,Drama
Animal,黑暗的电影观众反映不一样,4.2,Drama
Jawan,High-octane action with star power,4.4,Action
Jawan,शानदार अभिनय लेकिन कहानी कमजोर,4.2,Action
Jawan,சிறந்த ஆக்ஷன் ஸ்டार் பவரை காட்டுகிறது,4.3,Action
Jawan,Entertaining and action-packed movie,4.5,Action
Jawan,很有趣的电影有很好的动作场景,4.4,Action
